Datetime,Symbol,ISIN,Reference exchange,Venue,Quantity,Price,Value EUR,AutoFX Fee,Fees EUR,Total EUR,Order ID
2025-10-10 21:31:00,ADOBE INC,US00724F1012,NDQ,ARCX,-2.00,337.70,581.59,-1.45,-2.00,579.59,2399e3c1-7b50-4f2c-8055-fd999183fe39
2025-10-14 15:58:00,ADOBE INC,US00724F1012,NDQ,CDED,4.00,335.27,-1158.42,-2.90,-2.00,-1160.42,884824c3-045e-422a-a913-19d165764712
2025-11-12 18:51:00,ADOBE INC,US00724F1012,NDQ,XNAS,-5.00,337.10,1454.03,-3.64,-2.00,1452.03,
2025-11-05 14:53:00,ADR ON BANCO BILBAO VIZCAYA ARGENTARIA SA,US05946K1016,FRA,FRAB,100.00,17.50,-1750.00,0.00,-6.00,-1756.00,
2025-11-11 10:00:00,ADR ON BANCO BILBAO VIZCAYA ARGENTARIA SA,US05946K1016,FRA,FRAB,-100.00,18.20,1820.00,0.00,-6.00,1814.00,
2025-11-04 18:03:00,ADR ON CANAAN INC,US1347481020,NDQ,EDGA,-285.00,1.16,287.73,-0.72,-2.00,285.73,
2025-02-07 18:07:00,ADR ON LI AUTO INC,US50202M1027,NDQ,BATS,-5.00,26.16,126.50,-0.32,-2.00,124.50,b96659ce-0a47-4238-9bd4-a26d5743e859
2025-02-25 15:37:00,ADR ON LI AUTO INC,US50202M1027,NDQ,CDED,-45.00,29.84,1278.77,-3.20,-2.00,1276.77,a46bbdd7-470b-4bc3-bb8b-4a63915098d5
2025-05-12 16:52:00,ADVANCED MICRO DEVICES INC,US0079031078,NDQ,ARCX,6.00,107.50,-580.35,-1.45,-2.00,-582.35,85b2b159-7cfb-43be-ab65-437bd5dc3833
2025-07-17 16:01:00,ADVANCED MICRO DEVICES INC,US0079031078,NDQ,XNAS,-17.00,160.90,2361.08,-5.90,-2.00,2359.08,65684697-0442-4ffb-bf87-b2c72d638fa0
2025-11-14 11:20:00,AIRBUS SE,NL0000235190,XET,XETA,8.00,204.40,-1635.20,0.00,-4.90,-1640.10,
2025-04-25 15:34:00,ALPHABET INC CLASS A,US02079K3059,NDQ,EDGX,7.00,165.30,-1020.83,-2.55,-2.00,-1022.83,b9b98617-a61c-4b13-96c3-46b62038486e
2025-05-14 17:44:00,ALPHABET INC CLASS A,US02079K3059,NDQ,ARCX,-7.00,165.30,1032.95,-2.58,-2.00,1030.95,7e7ce6e2-c82e-4417-96a4-005590368f72
2025-07-21 17:57:00,ALPHABET INC CLASS A,US02079K3059,NDQ,XNAS,10.00,188.50,-1610.71,-4.03,-2.00,-1612.71,044e8543-78a4-4ba8-ae37-6e63cd68f074
2025-08-08 17:03:00,ALPHABET INC CLASS A,US02079K3059,NDQ,XNYS,-10.00,202.00,1733.17,-4.33,-2.00,1731.17,eaf08520-f2b4-4ba3-bc89-5ec1a1105022
2025-04-03 19:18:00,AMAZON.COM INC,US0231351067,NDQ,XNAS,10.00,181.50,-1645.08,-4.11,-2.00,-1647.08,44f3279b-f704-443a-910b-d3d5e4745844
2025-04-04 19:26:00,AMAZON.COM INC,US0231351067,NDQ,ARCX,-10.00,175.00,1600.81,-4.00,-2.00,1598.81,d7bc6302-d568-4154-829a-861e66db9b2a
2025-05-02 15:30:00,AMAZON.COM INC,US0231351067,NDQ,XNAS,10.00,190.00,-1674.02,-4.19,-2.00,-1676.02,4301f8f8-67a9-4a04-aabd-5ca350937dad
2025-05-22 15:53:00,AMAZON.COM INC,US0231351067,NDQ,BATS,-10.00,202.50,1794.11,-4.49,-2.00,1792.11,27aa2659-ebb0-4a64-afe3-ceb88f402885
2025-09-09 10:03:00,AP MOELLER - MAERSK A/S CLASS B,DK0010244508,OMK,XCSE,-1.00,13600.00,1821.21,-4.55,-4.90,1816.31,3e0d1cd7-a79f-47aa-9810-52ac1170d045
